path,act.lumi(fb-1),eff.lumi(fb-1),first_run,last_run,menu_version,dataset,year
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200_v,,,248035,260627,,BTagCSV,2015
HLT_DoubleJetsC112_DoubleBTagCSV0p85_DoublePFJetsC172_v,,,254608,260627,,BTagCSV,2015
HLT_DoubleJetsC112_DoubleBTagCSV0p85_DoublePFJetsC172_v,,,254608,260627,,BTagCSV,2015
HLT_DoubleJetsC100_DoubleBTagCSV0p9_DoublePFJetsC100MaxDeta1p6_v,,,254608,260627,,BTagCSV,2015
HLT_DoubleJetsC100_DoubleBTagCSV0p9_DoublePFJetsC100MaxDeta1p6_v,,,254608,260627,,BTagCSV,2015
HLT_DoubleJetsC100_DoubleBTagCSV0p85_DoublePFJetsC160_v,,,254608,260627,,BTagCSV,2015
HLT_DoubleJetsC100_DoubleBTagCSV0p85_DoublePFJetsC160_v,,,254608,260627,,BTagCSV,2015
HLT_DoubleJetsC112_DoubleBTagCSV0p9_DoublePFJetsC112MaxDeta1p6_v,,,254608,260627,,BTagCSV,2015
HLT_DoubleJet90_Double30_DoubleBTagCSV0p67_v,,,248035,260627,,BTagCSV,2015
HLT_DoubleJet90_Double30_DoubleBTagCSV0p67_v,,,248035,260627,,BTagCSV,2015
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200_v,,,248035,260627,,BTagCSV,2015
HLT_DoubleJet90_Double30_TripleBTagCSV0p67_v,,,248035,260627,,BTagCSV,2015
HLT_DoubleJet90_Double30_TripleBTagCSV0p67_v,,,248035,260627,,BTagCSV,2015
HLT_QuadJet45_DoubleBTagCSV0p67_v,,,248035,260627,,BTagCSV,2015
HLT_QuadJet45_DoubleBTagCSV0p67_v,,,248035,260627,,BTagCSV,2015
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoublePFBTagCSV0p7_0p4_Mbb60_200_v,,,259636,260627,,BTagCSV,2015
HLT_DoubleJetsC112_DoubleBTagCSV0p9_DoublePFJetsC112MaxDeta1p6_v,,,254608,260627,,BTagCSV,2015
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq460_v,,,248035,260627,,BTagCSV,2015
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq240_v,,,248035,260627,,BTagCSV,2015
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq500_v,,,248035,260627,,BTagCSV,2015
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq240_v,,,248035,260627,,BTagCSV,2015
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoublePFBTagCSV0p7_Mbb60_200_v,,,259636,260627,,BTagCSV,2015
HLT_AK4PFBJetBCSV60_Eta2p1_v,,,262157,262328,,BTagCSV,2015
HLT_AK4PFBJetBCSV80_Eta2p1_v,,,262157,262328,,BTagCSV,2015
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq500_v,,,248035,260627,,BTagCSV,2015
HLT_AK4PFBJetBSSV80_Eta2p1_v,,,262157,262328,,BTagCSV,2015
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq460_v,,,248035,260627,,BTagCSV,2015
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq500_v,,,248035,260627,,BTagCSV,2015
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq500_v,,,248035,260627,,BTagCSV,2015
HLT_QuadJet45_TripleBTagCSV0p67_v,,,248035,260627,,BTagCSV,2015
HLT_QuadJet45_TripleBTagCSV0p67_v,,,248035,260627,,BTagCSV,2015
HLT_AK4PFBJetBSSV60_Eta2p1_v,,,262157,262328,,BTagCSV,2015
HLT_BTagMu_DiJet40_Mu5_v,,,248035,260627,,BTagMu,2015
HLT_BTagMu_DiJet40_Mu5_v,,,248035,260627,,BTagMu,2015
HLT_BTagMu_DiJet20_Mu5_v,,,248035,260627,,BTagMu,2015
HLT_BTagMu_DiJet70_Mu5_v,,,248035,260627,,BTagMu,2015
HLT_BTagMu_DiJet110_Mu5_v,,,248035,260627,,BTagMu,2015
HLT_BTagMu_DiJet110_Mu5_v,,,248035,260627,,BTagMu,2015
HLT_BTagMu_DiJet70_Mu5_v,,,248035,260627,,BTagMu,2015
HLT_BTagMu_DiJet20_Mu5_v,,,248035,260627,,BTagMu,2015
HLT_BTagMu_Jet300_Mu5_v,,,248035,260627,,BTagMu,2015
HLT_BTagMu_Jet300_Mu5_v,,,248035,260627,,BTagMu,2015
HLT_DoubleMu4_3_Bs_v,,,248035,260627,,Charmonium,2015
HLT_DoubleMu4_3_Jpsi_Displaced_v,,,248035,260627,,Charmonium,2015
HLT_DoubleMu4_3_Jpsi_Displaced_v,,,248035,260627,,Charmonium,2015
HLT_DoubleMu4_JpsiTrk_Displaced_v,,,248035,260627,,Charmonium,2015
HLT_QuadMuon0_Dimuon0_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_QuadMuon0_Dimuon0_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon20_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon0_Jpsi_Muon_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon0_Jpsi_Muon_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon13_PsiPrime_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon8_PsiPrime_Barrel_v,,,248035,260627,,Charmonium,2015
HLT_DoubleMu4_3_Bs_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon20_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon10_Jpsi_Barrel_v,,,248035,260627,,Charmonium,2015
HLT_DoubleMu4_PsiPrimeTrk_Displaced_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon10_Jpsi_Barrel_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon16_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon16_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon6_Jpsi_NoVertexing_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon6_Jpsi_NoVertexing_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon0er16_Jpsi_NoVertexing_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon0er16_Jpsi_NoVertexing_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v,,,248035,260627,,Charmonium,2015
HLT_Mu7p5_Track7_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_Mu7p5_Track7_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_Mu7p5_Track3p5_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_Mu7p5_Track2_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_Mu7p5_Track2_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_Mu7p5_L2Mu2_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_Mu7p5_L2Mu2_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_DoubleMu4_PsiPrimeTrk_Displaced_v,,,248035,260627,,Charmonium,2015
HLT_DoubleMu4_JpsiTrk_Displaced_v,,,248035,260627,,Charmonium,2015
HLT_Mu7p5_Track3p5_Jpsi_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon13_PsiPrime_v,,,248035,260627,,Charmonium,2015
HLT_Dimuon8_PsiPrime_Barrel_v,,,248035,260627,,Charmonium,2015
HLT_L1SingleMuOpen_DT_v,,,248035,260627,,Commissioning,2015
HLT_L1Tech_DT_GlobalOR_v,,,248035,260627,,Commissioning,2015
HLT_L1Tech_DT_GlobalOR_v,,,248035,260627,,Commissioning,2015
HLT_IsoTrackHE_v,,,248035,260627,,Commissioning,2015
HLT_IsoTrackHB_v,,,248035,260627,,Commissioning,2015
HLT_IsoTrackHB_v,,,248035,260627,,Commissioning,2015
HLT_IsoTrackHE_v,,,248035,260627,,Commissioning,2015
HLT_Activity_Ecal_SC7_v,,,248035,260627,,Commissioning,2015
HLT_Activity_Ecal_SC7_v,,,248035,260627,,Commissioning,2015
HLT_Activity_Ecal_SC7_v,,,248035,260627,,Commissioning,2015
HLT_Activity_Ecal_SC7_v,,,248035,260627,,Commissioning,2015
HLT_L1SingleMuOpen_DT_v,,,248035,260627,,Commissioning,2015
HLT_DiSC30_18_EIso_AND_HE_Mass70_v,,,247068,260493,,Commissioning,2015
HLT_L1Tech_DT_TwinMux_v,,,258655,259626,,Commissioning,2015
HLT_L1Tech58_CASTOR_MediumJet_v,,,247981,251160,,Commissioning,2015
HLT_L1Tech57_CASTOR_HighJet_v,,,247981,251160,,Commissioning,2015
HLT_L1Tech59_CASTOR_HaloMuon_v,,,247981,251160,,Commissioning,2015
HLT_DiSC30_18_EIso_AND_HE_Mass70_v,,,247068,260493,,Commissioning_0T,2015
HLT_IsoTrackHE_v,,,248035,260627,,Commissioning_0T,2015
HLT_IsoTrackHB_v,,,248035,260627,,Commissioning_0T,2015
HLT_Activity_Ecal_SC7_v,,,248035,260627,,Commissioning_0T,2015
HLT_VBF_DisplacedJet40_Hadronic_v,,,248035,260627,,DisplacedJet,2015
HLT_HT250_DisplacedDijet40_DisplacedTrack_v,,,256630,260627,,DisplacedJet,2015
HLT_HT250_DisplacedDijet40_DisplacedTrack_v,,,256630,260627,,DisplacedJet,2015
HLT_HT350_DisplacedDijet80_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_TightID_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_HT550_DisplacedDijet40_Inclusive_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_TightID_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_HT350_DisplacedDijet80_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_Hadronic_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_VTightID_Hadronic_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_VTightID_Hadronic_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_TightID_Hadronic_v,,,248035,260627,,DisplacedJet,2015
HLT_HT500_DisplacedDijet40_Inclusive_v,,,248035,260627,,DisplacedJet,2015
HLT_HT500_DisplacedDijet40_Inclusive_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_TightID_Hadronic_v,,,248035,260627,,DisplacedJet,2015
HLT_HT550_DisplacedDijet40_Inclusive_v,,,248035,260627,,DisplacedJet,2015
HLT_HT350_DisplacedDijet40_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_HT350_DisplacedDijet80_Tight_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_HT400_DisplacedDijet40_Inclusive_v,,,256630,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_VVTightID_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_HT350_DisplacedDijet40_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_VTightID_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_VTightID_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_VVTightID_Hadronic_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_VVTightID_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_DisplacedTrack_2TrackIP2DSig5_v,,,256630,260627,,DisplacedJet,2015
HLT_HT750_DisplacedDijet80_Inclusive_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_VVTightID_Hadronic_v,,,248035,260627,,DisplacedJet,2015
HLT_HT650_DisplacedDijet80_Inclusive_v,,,248035,260627,,DisplacedJet,2015
HLT_HT650_DisplacedDijet80_Inclusive_v,,,248035,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_Hadronic_2PromptTrack_v,,,256630,260627,,DisplacedJet,2015
HLT_HT350_DisplacedDijet80_Tight_DisplacedTrack_v,,,248035,260627,,DisplacedJet,2015
HLT_HT400_DisplacedDijet40_Inclusive_v,,,256630,260627,,DisplacedJet,2015
HLT_VBF_DisplacedJet40_Hadronic_2PromptTrack_v,,,256630,260627,,DisplacedJet,2015
HLT_HT750_DisplacedDijet80_Inclusive_v,,,248035,260627,,DisplacedJet,2015
